Cincinnati Masters — 2021
matches: selected=55 rated=55 refused=0 players=56
POS  PLAYER                       RATING  M    AVG  POSITION  ROUND REACHED
 62  Casper Ruud                      -8  1   -8.0      33rd  R64 loser    
 63  Colton Smith                     -8  1   -8.0      65th  R128 loser   
 64  Daniil Medvedev                  -8  1   -8.0      33rd  R64 loser    
 65  Marcos Giron                     -8  1   -8.0      65th  R128 loser   
 66  Mariano Navone                   -8  1   -8.0      65th  R128 loser   
 67  Patrick Kypson                   -8  1   -8.0      65th  R128 loser   
 68  Tomas Martin Etcheverry          -8  2   -4.0      33rd  R64 loser    
 69  Yunchaokete Bu                   -8  1   -8.0      65th  R128 loser   
 70  Alejandro Tabilo                -12  1  -12.0      65th  R128 loser   
 71  Aleksandar Vukic                -12  1  -12.0      65th  R128 loser   
 72  Alex de Minaur                  -12  1  -12.0      33rd  R64 loser    
 73  Borna Coric                     -12  1  -12.0      65th  R128 loser   
 74  Brandon Holt                    -12  1  -12.0      65th  R128 loser   
 75  Cameron Norrie                  -12  1  -12.0      33rd  R64 loser    
 76  Daniel Altmaier                 -12  1  -12.0      65th  R128 loser   
 77  Hugo Dellien                    -12  1  -12.0      65th  R128 loser   
 78  Jaume Munar                     -12  1  -12.0      65th  R128 loser   
 79  Kei Nishikori                   -12  1  -12.0      65th  R128 loser   
 80  Leandro Riedi                   -12  1  -12.0      65th  R128 loser   
 81  Mackenzie McDonald              -12  1  -12.0      65th  R128 loser   
 82  Mattia Bellucci                 -12  1  -12.0      65th  R128 loser   
 83  Miomir Kecmanovic               -12  1  -12.0      65th  R128 loser   
 84  Nuno Borges                     -12  1  -12.0      65th  R128 loser   
 85  Pedro Martinez                  -12  2   -6.0      33rd  R64 loser    
 86  Tallon Griekspoor               -12  1  -12.0      33rd  R64 loser    
 87  Thiago Agustin Tirante          -12  1  -12.0      65th  R128 loser   
 88  Tomas Machac                    -12  1  -12.0      33rd  R64 loser    
 89  Aleksandar Kovacevic            -14  1  -14.0      65th  R128 loser   
 90  Arthur Cazaux                   -14  1  -14.0      33rd  R64 loser    
 91  David Goffin                    -14  1  -14.0      65th  R128 loser   
 92  Giovanni Mpetshi Perricard      -14  1  -14.0      65th  R128 loser   
 93  Jacob Fearnley                  -14  1  -14.0      65th  R128 loser   
 94  Vit Kopriva                     -14  1  -14.0      65th  R128 loser   
 95  Jordan Thompson                 -16  1  -16.0      65th  R128 loser   
 96  Yoshihito Nishioka              -16  1  -16.0      65th  R128 loser   
